>70710 1.9580
>70713 1.9482
>70716 1.8896
>70719 1.8457
>70722 1.8408
>70725 1.8311
>70728 1.8066
>70731 1.7725
>70734 1.7334
>70737 1.6992
>70739 1.6943
>70743 1.6992
>70746 1.7041
>70749 1.6602
>70752 1.6064
>70755 1.5771
>70758 1.5820
>70761 1.6016
>70764 1.6211
>70767 1.6211
>70770 1.6113
>70773 1.5967
>70776 1.5820
>70779 1.5820
>70782 1.6016
>70786 1.6162
>70789 1.6113
>70792 1.5869
>70795 1.5771
>70798 1.5820
>70801 1.5869
>70804 1.6064
>70807 1.6113
>70810 1.5820
>70813 1.5576
>70816 1.5479
>70819 1.5625
>70822 1.5918
>70825 1.6016
>70829 1.6113
>70832 1.6162
>70835 1.6162
>70838 1.5967
>70841 1.5625
>70844 1.5576
>70847 1.5771
>70850 1.5967
>70853 1.5820
>70856 1.5723
>70859 1.5967
>70862 1.6357
>70865 1.6162
>70868 1.5820
>70872 1.5527
>70875 1.5332
>70878 1.5527
>70881 1.5967
>70884 1.6211
>70887 1.6309
>70890 1.6309
>70893 1.5967
>70896 1.5674
>70899 1.5674
>70902 1.5820
>70905 1.6113
>70908 1.6113
>70912 1.5967
>70915 1.5820
>70918 1.5771
>70921 1.5674
>70923 1.5918
>70926 1.6162
>70929 1.6162
>70932 1.5918
>70935 1.5723
>70938 1.5771
>70941 1.5967
>70944 1.5967
>70947 1.5771
>70950 1.5674
>70953 1.5479
>70957 1.5625
>70960 1.5869
>70963 1.6162
>70966 1.6211
>70969 1.6113
>70972 1.5918
>70975 1.5625
>70978 1.5723
>70981 1.5869
>70984 1.5869
>70987 1.5820
>70990 1.5820
>70993 1.5576
>70996 1.5479
>71000 1.5674
>71003 1.6162
>71006 1.6406
>71009 1.6309
>71012 1.6064
>71015 1.5820
>71018 1.5723
>71021 1.5869
>71024 1.6113
>71027 1.6016
>71030 1.5918
>71033 1.5869
>71036 1.5918
>71040 1.6064
>71043 1.6260
>71046 1.6357
>71049 1.6309
>71052 1.6162
>71055 1.6064
>71058 1.5967
>71061 1.6016
>71064 1.6064
>71067 1.6064
>71070 1.5869
>71073 1.5674
>71076 1.5820
>71079 1.5967
>71083 1.6113
>71086 1.6455
>71089 1.6699
>71092 1.6650
>71095 1.6260
>71098 1.5918
>71101 1.5918
>71104 1.6162
>71107 1.6357
>71110 1.6504
>71113 1.6406
>71116 1.6455
>71119 1.6699
>71121 1.6943
>71124 1.6895
>71128 1.6846
>71131 1.6748
>71134 1.6797
>71137 1.6797
>71140 1.6797
>71143 1.6992
>71146 1.7187
>71149 1.7187
>71152 1.6895
>71155 1.6699
>71158 1.6650
>71161 1.6699
>71164 1.6650
>71168 1.6309
>71171 1.5771
